"gene_id","gene_name","Lmx1a_E1_R1","Lmx1a_E1_R2","Lmx1a_E1_R3","Lmx1a_E1_R4","Sox3U3_R1","Sox3U3_R2","Sox3U3_R3","Sox3U3_R4"
"ENSGALG00000043268","DUSP19",394,325,1162,1400,2265,986,503,475
"ENSGALG00000002750","NCKAP1",487,414,1448,1274,1518,724,358,335
"ENSGALG00000002763","FRZB",901,690,2352,2015,1604,654,529,349
"ENSGALG00000048355","ENSGALG00000048355",15,14,51,65,71,28,7,11
"ENSGALG00000002789","MAP2",220,224,851,1078,1855,874,384,340
"ENSGALG00000041563","UNC80",67,52,238,155,352,147,61,99
"ENSGALG00000051397","ENSGALG00000051397",817,748,2502,2974,5167,1987,1107,1032
"ENSGALG00000002866","KANSL1L",340,311,1195,1511,3484,1892,742,785
"ENSGALG00000002891","ACADL",825,663,2556,2751,6405,2415,1230,1264
"ENSGALG00000002907","MYL1",11,9,56,32,244,47,20,29
"ENSGALG00000002921","LANCL1",971,728,2870,3334,6570,2581,1265,1361
"ENSGALG00000002944","CPS1",16,28,105,66,109,64,48,72
"ENSGALG00000051684","ENSGALG00000051684",3,6,7,5,26,9,7,5
"ENSGALG00000051596","ENSGALG00000051596",4,6,22,3,62,18,12,3
"ENSGALG00000003126","ERBB4",51,20,69,50,169,72,36,28
"ENSGALG00000052079","ENSGALG00000052079",11,5,22,32,68,32,54,35
"ENSGALG00000048680","ENSGALG00000048680",7,2,9,5,41,13,5,3
"ENSGALG00000051220","ENSGALG00000051220",0,1,1,3,16,2,1,16
"ENSGALG00000003136","IKZF2",41,29,109,117,586,210,96,212
"ENSGALG00000038583","ENSGALG00000038583",4,6,27,17,62,21,11,7
"ENSGALG00000055123","ENSGALG00000055123",1,3,10,3,8,5,9,4
"ENSGALG00000003148","SPAG16",76,60,179,227,501,178,91,159
"ENSGALG00000049713","ENSGALG00000049713",0,0,1,11,2,2,1,5
"ENSGALG00000003472","VWC2L",31,31,72,76,206,85,60,39
"ENSGALG00000003484","BARD1",397,349,1201,1266,2625,1151,418,430
"ENSGALG00000003553","ABCA12",31,28,121,74,215,73,60,66
"ENSGALG00000049012","ENSGALG00000049012",16,9,62,14,47,19,34,19
"ENSGALG00000003570","PURH",2800,2390,8531,8068,12086,5328,2389,2262
"ENSGALG00000003578","FN1",1251,952,3421,3045,11241,4077,2795,2901
"ENSGALG00000003758","MREG",4,9,22,46,27,22,28,25
"ENSGALG00000042073","ENSGALG00000042073",118,105,293,372,811,300,179,188
"ENSGALG00000050947","IFNL3",0,0,0,0,0,1,0,0
"ENSGALG00000003812","UBE2F",717,620,2155,1980,3619,1538,801,738
"ENSGALG00000047535","ENSGALG00000047535",0,0,0,0,0,0,0,0
"ENSGALG00000047344","IFNL3_1",0,0,0,0,0,0,0,0
"ENSGALG00000050548","ENSGALG00000050548",2,0,2,11,35,11,4,2
"ENSGALG00000052146","IFNL3_2",0,0,0,0,0,0,0,0
"ENSGALG00000003821","RAMP1",49,25,93,63,103,63,20,22
"ENSGALG00000003836","ENSGALG00000003836",22,6,38,8,57,12,15,10
"ENSGALG00000052560","ENSGALG00000052560",3,4,7,2,28,3,2,7
